dataset,defense,attack,epochs_used,auc_noattack,auc_attack,delta_auc_pp
cifar,Bulyan,Fang,40,66.41,68.81,-2.4
cifar,Bulyan,FedGhost,40,66.41,56.68,9.74
cifar,Bulyan,FedSDF,40,66.41,10.0,56.41
cifar,Bulyan,I-FMPA,40,66.41,10.79,55.62
cifar,Bulyan,LIE,40,66.41,10.0,56.41
cifar,Bulyan,MinMax,40,66.41,41.01,25.41
cifar,Bulyan,MinSum,40,66.41,18.31,48.1
cifar,Bulyan,PoisonedFL,40,66.41,54.01,12.4
cifar,CC,Fang,40,71.27,21.59,49.68
cifar,CC,FedGhost,40,71.27,58.83,12.45
cifar,CC,FedSDF,40,71.27,10.0,61.27
cifar,CC,I-FMPA,40,71.27,63.77,7.5
cifar,CC,LIE,40,71.27,65.19,6.09
cifar,CC,MinMax,40,71.27,66.81,4.46
cifar,CC,MinSum,40,71.27,66.45,4.83
cifar,CC,PoisonedFL,40,71.27,58.38,12.9
cifar,FedAvg,Fang,40,70.12,22.28,47.85
cifar,FedAvg,FedGhost,40,70.12,62.34,7.78
cifar,FedAvg,FedSDF,40,70.12,10.0,60.12
cifar,FedAvg,I-FMPA,40,70.12,62.65,7.47
cifar,FedAvg,LIE,40,70.12,62.13,7.99
cifar,FedAvg,MinMax,40,70.12,63.88,6.25
cifar,FedAvg,MinSum,40,70.12,65.36,4.76
cifar,FedAvg,PoisonedFL,40,70.12,62.07,8.06
cifar,Multi-Krum,Fang,40,66.01,61.63,4.38
cifar,Multi-Krum,FedGhost,40,66.01,57.86,8.15
cifar,Multi-Krum,FedSDF,40,66.01,10.0,56.01
cifar,Multi-Krum,I-FMPA,40,66.01,52.2,13.81
cifar,Multi-Krum,LIE,40,66.01,11.06,54.95
cifar,Multi-Krum,MinMax,40,66.01,52.62,13.39
cifar,Multi-Krum,MinSum,40,66.01,58.34,7.67
cifar,Multi-Krum,PoisonedFL,40,66.01,57.32,8.7
cifar,RFA,Fang,40,70.1,50.3,19.8
cifar,RFA,FedGhost,40,70.1,51.19,18.91
cifar,RFA,FedSDF,40,70.1,10.0,60.1
cifar,RFA,I-FMPA,40,70.1,9.45,60.65
cifar,RFA,LIE,40,70.1,53.37,16.73
cifar,RFA,MinMax,40,70.1,67.19,2.91
cifar,RFA,MinSum,40,70.1,66.88,3.22
cifar,RFA,PoisonedFL,40,70.1,49.19,20.91
cifar,RoFL,Fang,40,69.96,23.4,46.56
cifar,RoFL,FedGhost,40,69.96,61.68,8.28
cifar,RoFL,FedSDF,40,69.96,16.05,53.91
cifar,RoFL,I-FMPA,40,69.96,64.98,4.98
cifar,RoFL,LIE,40,69.96,67.22,2.73
cifar,RoFL,MinMax,40,69.96,65.28,4.68
cifar,RoFL,MinSum,40,69.96,67.89,2.07
cifar,RoFL,PoisonedFL,40,69.96,62.87,7.09
cifar,Trimmed-mean,Fang,40,69.11,34.54,34.57
cifar,Trimmed-mean,FedGhost,40,69.11,60.74,8.36
cifar,Trimmed-mean,FedSDF,40,69.11,11.2,57.91
cifar,Trimmed-mean,I-FMPA,40,69.11,55.11,14.0
cifar,Trimmed-mean,LIE,40,69.11,60.62,8.49
cifar,Trimmed-mean,MinMax,40,69.11,60.19,8.92
cifar,Trimmed-mean,MinSum,40,69.11,63.57,5.54
cifar,Trimmed-mean,PoisonedFL,40,69.11,60.01,9.1
f-mnist,Bulyan,Fang,40,88.21,88.99,-0.79
f-mnist,Bulyan,FedGhost,40,88.21,86.57,1.64
f-mnist,Bulyan,FedSDF,40,88.21,10.79,77.41
f-mnist,Bulyan,I-FMPA,40,88.21,40.5,47.71
f-mnist,Bulyan,LIE,40,88.21,10.0,78.21
f-mnist,Bulyan,MinMax,40,88.21,79.14,9.07
f-mnist,Bulyan,MinSum,40,88.21,84.27,3.93
f-mnist,Bulyan,PoisonedFL,40,88.21,86.46,1.75
f-mnist,CC,Fang,40,89.89,59.82,30.07
f-mnist,CC,FedGhost,40,89.89,88.34,1.54
f-mnist,CC,FedSDF,40,89.89,48.96,40.93
f-mnist,CC,I-FMPA,40,89.89,86.44,3.45
f-mnist,CC,LIE,40,89.89,87.9,1.99
f-mnist,CC,MinMax,40,89.89,87.99,1.89
f-mnist,CC,MinSum,40,89.89,88.52,1.36
f-mnist,CC,PoisonedFL,40,89.89,88.58,1.31
f-mnist,FedAvg,Fang,40,89.5,58.49,31.01
f-mnist,FedAvg,FedGhost,40,89.5,89.3,0.2
f-mnist,FedAvg,FedSDF,40,89.5,11.71,77.79
f-mnist,FedAvg,I-FMPA,40,89.5,85.78,3.72
f-mnist,FedAvg,LIE,40,89.5,71.86,17.64
f-mnist,FedAvg,MinMax,40,89.5,88.09,1.41
f-mnist,FedAvg,MinSum,40,89.5,88.64,0.86
f-mnist,FedAvg,PoisonedFL,40,89.5,88.77,0.73
f-mnist,Multi-Krum,Fang,40,89.26,89.2,0.06
f-mnist,Multi-Krum,FedGhost,40,89.26,87.99,1.27
f-mnist,Multi-Krum,FedSDF,40,89.26,10.0,79.26
f-mnist,Multi-Krum,I-FMPA,40,89.26,78.48,10.78
f-mnist,Multi-Krum,LIE,40,89.26,83.02,6.24
f-mnist,Multi-Krum,MinMax,40,89.26,83.64,5.62
f-mnist,Multi-Krum,MinSum,40,89.26,85.91,3.35
f-mnist,Multi-Krum,PoisonedFL,40,89.26,87.65,1.61
f-mnist,RFA,Fang,40,89.5,82.67,6.83
f-mnist,RFA,FedGhost,40,89.5,85.78,3.72
f-mnist,RFA,FedSDF,40,89.5,10.0,79.5
f-mnist,RFA,I-FMPA,40,89.5,25.45,64.04
f-mnist,RFA,LIE,40,89.5,85.47,4.02
f-mnist,RFA,MinMax,40,89.5,88.48,1.01
f-mnist,RFA,MinSum,40,89.5,88.37,1.12
f-mnist,RFA,PoisonedFL,40,89.5,84.51,4.99
f-mnist,RoFL,Fang,40,89.85,64.96,24.89
f-mnist,RoFL,FedGhost,40,89.85,89.11,0.74
f-mnist,RoFL,FedSDF,40,89.85,10.0,79.85
f-mnist,RoFL,I-FMPA,40,89.85,87.84,2.0
f-mnist,RoFL,LIE,40,89.85,88.01,1.84
f-mnist,RoFL,MinMax,40,89.85,87.94,1.91
f-mnist,RoFL,MinSum,40,89.85,88.56,1.29
f-mnist,RoFL,PoisonedFL,40,89.85,89.11,0.74
f-mnist,Trimmed-mean,Fang,40,89.24,78.76,10.47
f-mnist,Trimmed-mean,FedGhost,40,89.24,89.06,0.17
f-mnist,Trimmed-mean,FedSDF,40,89.24,54.44,34.79
f-mnist,Trimmed-mean,I-FMPA,40,89.24,80.7,8.54
f-mnist,Trimmed-mean,LIE,40,89.24,87.08,2.15
f-mnist,Trimmed-mean,MinMax,40,89.24,87.04,2.2
f-mnist,Trimmed-mean,MinSum,40,89.24,87.46,1.78
f-mnist,Trimmed-mean,PoisonedFL,40,89.24,88.43,0.81
mnist,Bulyan,Fang,40,97.29,97.5,-0.21
mnist,Bulyan,FedGhost,40,97.29,94.12,3.17
mnist,Bulyan,FedSDF,40,97.29,10.47,86.82
mnist,Bulyan,I-FMPA,40,97.29,6.32,90.97
mnist,Bulyan,LIE,40,97.29,10.32,86.97
mnist,Bulyan,MinMax,40,97.29,84.02,13.26
mnist,Bulyan,MinSum,40,97.29,90.39,6.89
mnist,Bulyan,PoisonedFL,40,97.29,94.16,3.13
mnist,CC,Fang,40,98.15,46.04,52.11
mnist,CC,FedGhost,40,98.15,95.53,2.62
mnist,CC,FedSDF,40,98.15,9.8,88.35
mnist,CC,I-FMPA,40,98.15,95.22,2.93
mnist,CC,LIE,40,98.15,70.35,27.8
mnist,CC,MinMax,40,98.15,95.73,2.42
mnist,CC,MinSum,40,98.15,96.21,1.94
mnist,CC,PoisonedFL,40,98.15,95.29,2.86
mnist,FedAvg,Fang,40,98.19,44.32,53.87
mnist,FedAvg,FedGhost,40,98.19,42.83,55.36
mnist,FedAvg,FedSDF,40,98.19,9.8,88.39
mnist,FedAvg,I-FMPA,40,98.19,95.55,2.64
mnist,FedAvg,LIE,40,98.19,84.2,13.99
mnist,FedAvg,MinMax,40,98.19,94.15,4.04
mnist,FedAvg,MinSum,40,98.19,96.33,1.86
mnist,FedAvg,PoisonedFL,40,98.19,69.23,28.96
mnist,Multi-Krum,Fang,40,97.75,97.9,-0.15
mnist,Multi-Krum,FedGhost,40,97.75,46.84,50.9
mnist,Multi-Krum,FedSDF,40,97.75,9.8,87.95
mnist,Multi-Krum,I-FMPA,40,97.75,81.01,16.74
mnist,Multi-Krum,LIE,40,97.75,9.8,87.95
mnist,Multi-Krum,MinMax,40,97.75,88.46,9.28
mnist,Multi-Krum,MinSum,40,97.75,92.82,4.93
mnist,Multi-Krum,PoisonedFL,40,97.75,96.62,1.13
mnist,RFA,Fang,40,97.89,96.98,0.91
mnist,RFA,FedGhost,40,97.89,93.15,4.73
mnist,RFA,FedSDF,40,97.89,9.8,88.09
mnist,RFA,I-FMPA,40,97.89,21.93,75.96
mnist,RFA,LIE,40,97.89,59.73,38.16
mnist,RFA,MinMax,40,97.89,96.6,1.29
mnist,RFA,MinSum,40,97.89,96.48,1.41
mnist,RFA,PoisonedFL,40,97.89,91.3,6.59
mnist,RoFL,Fang,40,98.21,47.34,50.87
mnist,RoFL,FedGhost,40,98.21,80.08,18.13
mnist,RoFL,FedSDF,40,98.21,9.8,88.41
mnist,RoFL,I-FMPA,40,98.21,96.0,2.22
mnist,RoFL,LIE,40,98.21,86.3,11.92
mnist,RoFL,MinMax,40,98.21,94.94,3.28
mnist,RoFL,MinSum,40,98.21,96.81,1.4
mnist,RoFL,PoisonedFL,40,98.21,38.38,59.84
mnist,Trimmed-mean,Fang,40,97.94,97.09,0.85
mnist,Trimmed-mean,FedGhost,40,97.94,96.62,1.31
mnist,Trimmed-mean,FedSDF,40,97.94,11.38,86.56
mnist,Trimmed-mean,I-FMPA,40,97.94,80.74,17.2
mnist,Trimmed-mean,LIE,40,97.94,16.51,81.43
mnist,Trimmed-mean,MinMax,40,97.94,94.59,3.35
mnist,Trimmed-mean,MinSum,40,97.94,95.66,2.27
mnist,Trimmed-mean,PoisonedFL,40,97.94,96.64,1.3
