p,dataset,defense,auc_noattack,auc_attack,delta_auc_pp
15,cifar,Bulyan,62.6798,18.0716,44.6082
15,f-mnist,Bulyan,86.3539,32.3026,54.0513
15,mnist,Bulyan,96.0873,18.6333,77.454
15,cifar,CC,67.6619,32.2075,35.4544
15,f-mnist,CC,88.2659,67.8108,20.4551
15,mnist,CC,97.2716,33.5673,63.7043
15,cifar,FedAvg,66.8059,31.6259,35.18
15,f-mnist,FedAvg,88.0175,54.93,33.0875
15,mnist,FedAvg,97.36,27.7857,69.5743
15,cifar,Multi-Krum,62.8108,21.5978,41.213
15,f-mnist,Multi-Krum,87.7072,37.1881,50.5191
15,mnist,Multi-Krum,96.738,27.8689,68.8691
15,cifar,RFA,66.5713,12.8606,53.7107
15,f-mnist,RFA,87.9561,27.9121,60.044
15,mnist,RFA,96.9361,11.0154,85.9207
15,cifar,RoFL,66.5896,36.451,30.1386
15,f-mnist,RoFL,88.2641,47.316,40.9481
15,mnist,RoFL,97.3475,26.1593,71.1882
15,cifar,Trimmed-mean,65.3498,28.1782,37.1716
15,f-mnist,Trimmed-mean,87.627,71.0133,16.6137
15,mnist,Trimmed-mean,97.0052,41.0644,55.9408
10,cifar,Bulyan,62.6798,21.4521,41.2277
10,cifar,CC,67.6619,46.1786,21.4833
10,cifar,FedAvg,66.8059,47.5584,19.2475
10,cifar,Multi-Krum,62.8108,31.1039,31.7069
10,cifar,RFA,66.5713,20.71,45.8613
10,cifar,RoFL,66.5896,46.5593,20.0303
10,cifar,Trimmed-mean,65.3498,45.9338,19.416
10,f-mnist,Bulyan,86.3539,82.0528,4.3011
10,f-mnist,CC,88.2659,66.7585,21.5074
10,f-mnist,FedAvg,88.0175,67.5692,20.4483
10,f-mnist,Multi-Krum,87.7072,60.0413,27.6659
10,f-mnist,RFA,87.9561,44.314,43.6421
10,f-mnist,RoFL,88.2641,61.2042,27.0599
10,f-mnist,Trimmed-mean,87.627,82.2933,5.3337
10,mnist,Bulyan,96.0873,78.4152,17.6721
10,mnist,CC,97.2716,31.6067,60.6649
10,mnist,FedAvg,97.36,31.5417,65.8183
10,mnist,Multi-Krum,96.738,30.4955,66.2425
10,mnist,RFA,96.9361,18.8431,78.093
10,mnist,RoFL,97.3475,34.1622,63.1853
10,mnist,Trimmed-mean,97.0052,66.1305,30.8747
3,cifar,Bulyan,62.6798,58.6774,4.0024
3,cifar,CC,67.6619,64.848,2.8139
3,cifar,FedAvg,66.8059,66.4275,0.3784
3,cifar,Multi-Krum,62.8108,61.9093,0.9015
3,cifar,RFA,66.5713,64.9706,1.6007
3,cifar,RoFL,66.5896,65.6884,0.9012
3,cifar,Trimmed-mean,65.3498,65.0773,0.2725
3,f-mnist,Bulyan,86.3539,86.1076,0.2463
3,f-mnist,CC,88.2659,87.8598,0.4061
3,f-mnist,FedAvg,88.0175,87.6734,0.3441
3,f-mnist,Multi-Krum,87.7072,87.2692,0.438
3,f-mnist,RFA,87.9561,87.738,0.2181
3,f-mnist,RoFL,88.2641,88.2432,0.0209
3,f-mnist,Trimmed-mean,87.627,87.885,-0.258
3,mnist,Bulyan,96.0873,96.1041,-0.0168
3,mnist,CC,97.2716,78.0249,19.2467
3,mnist,FedAvg,97.36,97.4555,-0.0955
3,mnist,Multi-Krum,96.738,96.6693,0.0687
3,mnist,RFA,96.9361,97.1479,-0.2118
3,mnist,RoFL,97.3475,97.3313,0.0162
3,mnist,Trimmed-mean,97.0052,97.1396,-0.1344
5,cifar,Bulyan,62.6798,55.6819,6.9979
5,cifar,CC,67.6619,61.8216,5.8403
5,cifar,FedAvg,66.8059,63.4204,3.3855
5,cifar,Multi-Krum,62.8108,61.1073,1.7035
5,cifar,RFA,66.5713,61.8048,4.7665
5,cifar,RoFL,66.5896,61.6049,4.9847
5,cifar,Trimmed-mean,65.3498,62.6709,2.6789
5,f-mnist,Bulyan,86.3539,86.407,-0.0531
5,f-mnist,CC,88.2659,87.3747,0.8912
5,f-mnist,FedAvg,88.0175,87.5016,0.5159
5,f-mnist,Multi-Krum,87.7072,86.8372,0.87
5,f-mnist,RFA,87.9561,87.6107,0.3454
5,f-mnist,RoFL,88.2641,86.9617,1.3024
5,f-mnist,Trimmed-mean,87.627,87.0428,0.5842
5,mnist,Bulyan,96.0873,95.9419,0.1454
5,mnist,CC,97.2716,97.0561,0.2155
5,mnist,FedAvg,97.36,96.8815,0.4785
5,mnist,Multi-Krum,96.738,96.0547,0.6833
5,mnist,RFA,96.9361,97.0925,-0.1564
5,mnist,RoFL,97.3475,96.8517,0.4958
5,mnist,Trimmed-mean,97.0052,96.8903,0.1149
7,cifar,Bulyan,62.6798,38.8334,23.8464
7,cifar,CC,67.6619,56.9519,10.71
7,cifar,FedAvg,66.8059,57.1792,9.6267
7,cifar,Multi-Krum,62.8108,43.5826,19.2282
7,cifar,RFA,66.5713,31.8108,34.7605
7,cifar,RoFL,66.5896,56.2615,10.3281
7,cifar,Trimmed-mean,65.3498,53.8286,11.5212
7,f-mnist,Bulyan,86.3539,83.0019,3.352
7,f-mnist,CC,88.2659,83.0785,5.1874
7,f-mnist,FedAvg,88.0175,86.1835,1.834
7,f-mnist,Multi-Krum,87.7072,57.5495,30.1577
7,f-mnist,RFA,87.9561,80.5606,7.3955
7,f-mnist,RoFL,88.2641,79.6282,8.6359
7,f-mnist,Trimmed-mean,87.627,86.7877,0.8393
7,mnist,Bulyan,96.0873,85.1162,10.9711
7,mnist,CC,97.2716,40.2574,57.0142
7,mnist,FedAvg,97.36,39.5771,57.7829
7,mnist,Multi-Krum,96.738,32.3937,64.3443
7,mnist,RFA,96.9361,27.1609,69.7752
7,mnist,RoFL,97.3475,41.2694,56.0781
7,mnist,Trimmed-mean,97.0052,87.4535,9.5517